[295,172];149(_,172(_,295(_,3)))
[190,76];190(_,76)
[81,194];233(130(128(101,129),217(159(153(139,154),190(179(167,184(180,_)),194(_,211))),227)),281(271(247,_),81(61(285,68),_)))
[269,58];267(210(_,220),58(269,_))
[128,294];138(128(112(_,121(116,_)),_),257(152(144,214(208(154(_,174),211),23(229,254))),51(281(_,294),90(74(6,_),97))))
[197,235];284(219(121(_,179(176(153,_),188(_,197(192,2)))),241(235,248)),46(29,5))
[56,147];147(_,56(290(183(_,195(_,282(279(22,_),_))),_),88))
[230,107];1(_,190(148(144(107,_),_),230(20,62(_,87))))
[172,147];226(130(_,140(14,224(215(196(147(_,152(_,172)),209),_),_))),46(245(228(_,229(_,238)),25(_,270(_,28))),61(54(47,_),68)))
[64,257];105(10(_,102),8(16(149(132,153),64(62(257(218(161(_,176(172,2(198,_))),248(232,_)),291),_),72)),99(97(86,_),_)))
[160,119];54(18(144(138(119(110(_,111),130(12,_)),_),168(160,_)),197(184,45(238(199(198,227(222,_)),242(_,280(256,44(290,_)))),5))),96)
[247,278];192(104(10,131(_,148)),22(203,293(278(247,_),81(51,_))))
[207,169];171(169(123(112,163(137(136,_),_)),_),264(203(179,205(_,207(_,244(222(215(_,221),_),_)))),273(_,74(43(35,64),86(82,_)))))
[88,147];148(147,249(213(168(154(_,161(_,166)),175(_,210(198(_,209),_))),219),37(30(274(265,_),_),51(5(_,50),88))))
[54,92];179(116(_,13(125,137(133,171(159(_,164),173(172,_))))),36(200(193,298(292(239(23(215,_),26),_),32(_,34))),92(37(_,54(_,76(_,87))),_)))
[68,183];183(134(104,171),68(53,_))
[166,212];295(168(155(116(111,_),166),283(212(18(169(_,176),2),26(243(222,249(_,254)),277(_,278))),293(290,_))),94(40(_,8),_))
[259,41];268(121(100,2(149(126(125,_),158(_,163)),264(259(243,_),_))),296(293,80(42(297(_,41(3,_)),69(46(43,_),_)),95)))
[80,119];80(119(_,189(172(153,_),258(_,286))),90)
[167,202];119(_,152(13(123(_,126),130),32(259(202(180(167,_),211),292(275,_)),48(_,84))))
[76,247];258(171(124(11,169(149,17)),213(2,247)),83(261(_,76(278(_,297),_)),_))
[113,69];135(113(_,116),222(180(_,186(_,213)),8(254(_,288(_,6(47,69))),_)))
[237,257];90(282(118(109,237(176(132(127,_),202(_,22)),281(257,_))),294(_,70(298(_,33(_,46(43,_))),_))),_)
[178,167];142(136(130(121,_),137),163(162,244(197(164(_,178(167(_,176),190)),208),259(255,272(268,290(_,8(70,_)))))))
[87,233];145(111(_,119(113,14)),156(_,87(262(26(233(172(159(_,168),211(200,224(212,_))),258(247(_,250),259)),_),298(297(273(271,_),_),50(_,75))),91)))
[213,115];47(213(115(_,116),_),_)
[185,231];67(35(292(177(149(111(102,135(127(126,_),_)),172(161,_)),260(249(23(185,231),_),278(262,_))),_),48(_,50)),80(73,_))
[88,299];88(4(258(209(161(132(101,160),_),230(219(211,_),250)),299(266(264,278),_)),44),96)
[77,249];162(141(105(103,106(_,118)),152),242(185(_,205(202(_,204),_)),248(_,73(249(_,260(_,290(_,56))),85(77,_)))))
[102,61];266(216(175(102(_,174),_),217(_,218)),61(_,80))
[260,56];102(_,25(114(113,205(146(_,179),_)),51(251(_,260),57(56,_))))
[235,287];253(166(145,218(173(_,177),234(229(_,232),235))),277(255(_,271),293(287,33(32,6(4(_,52),70)))))
[65,103];2(162(143(103(_,130(107,_)),_),197(186(180,19),_)),41(230(215,264(235,265)),87(65,_)))
[120,292];181(115(114,174(120(12,157(131(128,15),172)),_)),87(292(216(202,253(246(236,_),266)),81(68(66,72),_)),_))
[234,62];34(234(160(115,213),299),62(_,69))
[187,275];72(63(108(_,254(187(183(112,_),233(_,250)),298(275,_))),_),84(_,99))
[71,224];271(224(10,_),9(71(44,_),_))
[89,218];115(10(_,111),185(121(116,158(122,16(159,_))),87(218(186(_,201),284(254(245(241,_),263(_,271)),30(_,66(_,70(_,83(76,84)))))),89(_,96))))
[177,225];5(205(177(154(142,159),184),268(266(225(219(214(209,_),221),238(_,256(255,_))),_),49(40(295(276,_),42),_))),97(58(57(55,_),78(_,89)),_))
[38,14];14(107(_,111(_,121(116(112,_),128))),175(_,67(63(192(176(_,188),38(197(_,224(_,285)),_)),_),_)))
[99,19];293(138(127(123(122,_),131),242(19(182(145,188),227),254(_,26))),9(46(_,55(_,81(58,_))),99))
[240,120];120(102(_,109),262(253(227(203(168(157,175(_,185)),_),232(_,240)),256),297(291,53(43,98(66(59,70(_,74)),_)))))
[252,248];140(128(1,130(13,_)),57(32(262(17(151(_,167),189(_,252(195(191,220(219(217,_),249(248,_))),_))),275),34(33,_)),78(6(59,_),83(80,90))))
[137,108];151(125(114(111(108,_),_),137(127,_)),295(215(213(209(175(167(153,_),181(180,_)),_),_),282(263(24,_),_)),54(48,58(_,60))))
[150,31];150(_,226(194,36(31,_)))
[114,34];10(_,61(222(124(114,219(138(_,204(17(_,190),_)),_)),237(_,34(267(_,271(_,296)),53(36(_,52),60)))),96(81(_,91(_,92)),98)))
[80,55];89(78(55(210(121(110(105,_),204(139(124,160(146(_,159(147,_)),164)),_)),228(_,44(24(_,262(244,43(290(278,36(296,38)),_))),_))),58),80),_)
[293,277];67(268(142(10(_,106(_,124(_,129(_,130(_,137))))),150(_,259(186(166(_,167(_,172(_,180))),241(199,_)),_))),58(277(_,293(_,30)),_)),70)
[297,253];191(_,213(_,82(7(23(_,278(253,43(297,55))),_),96)))
[166,18];18(166,_)
[17,297];297(168(_,17(_,170)),33)
[239,256];239(192(164(112(_,132(_,155)),177(_,189)),207(199(_,204),_)),5(256(255,258(_,42)),79(64,9)))
[292,139];49(194(136(116(_,125(124,_)),186(156(152(139,_),174(_,185)),_)),46(225(203(_,22),292(254(226,29),37)),_)),75(64(52,65),_))
[247,176];247(198(172(_,176),_),_)
[30,65];65(147(101(_,139(137(123,_),_)),276(227(190(161,_),249(229,_)),281(279,43(296(_,4(30,_)),_)))),69)
[225,170];225(170,_)
[284,240];284(240(238(143,_),_),_)
[12,281];278(147(137(110(_,125(12,129)),138),275(221(158(_,170(17(169(16,_),_),189(_,197(_,208)))),266(255,_)),_)),96(45(281,56(52,58(57,61))),_))
[53,225];143(130(120(113(10,114),_),141),150(_,52(43(185(153(_,158(_,171)),264(225(_,235(231,_)),295(_,3))),_),8(53,88))))
[215,137];29(215(133(117(_,130),202(137,_)),277(260(239(236,243(_,258)),_),_)),38(296,88))
