[12,236];228(12,241(236,283(_,47(_,85))))
[207,229];271(197(123(10(_,121),133(129,142(_,178(172,191)))),200(_,258(244(234(229(212(207,218),231),_),_),265))),273(_,89(72(6,_),99)))
[276,111];35(160(1(_,145(111,_)),204(171(_,18),225(216,273(255(245(_,248(_,254)),260(_,270(266,_))),282(276,299(287,_)))))),55(40,7(_,80(_,87))))
[200,270];270(200,69(_,70))
[231,177];81(283(177(136(11,_),261(227(_,231),_)),72(54(46,68),_)),_)
[285,250];58(212(205,250(219(_,237),285)),67)
[245,155];236(176(158(155,_),221(204,_)),84(245(_,42(282(258,_),_)),_))
[142,256];171(160(159(142(120(110,130),156(143,158)),_),_),220(202(183,216),69(254(246,283(256,52)),87(_,91))))
[248,154];70(248(145(120(_,141),147(_,154)),50(284,_)),_)
[103,6];54(103(_,238(182(116,185(_,195)),290(275(25,_),_))),57(_,6))
[14,168];111(100(_,104(_,105)),119(_,97(168(14(126,16),91(35(287(198(18(170,_),274(20,_)),30),55(39,70(65,84))),_)),_)))
[173,106];5(142(108(106,_),161(_,173(164,229(224,269(244(_,263),_))))),69)
[139,249];286(156(141(139(122,_),_),259(202(16(_,193),241(225,249)),281)),77(292(291,296),_))
[94,214];264(25(110(_,206(159(142,205(18(_,197),_)),219(214,_))),254),96(94(44(43,_),_),_))
[17,181];169(105(_,164),180(17,181(_,279(192(_,267(213(_,235(23,_)),_)),53(31(_,43(_,47)),87)))))
[258,73];73(132(102,38(206(172,279(258,33)),_)),97(85,_))
[132,74];84(143(130(_,132),203(153(151(144,_),175(_,198(197,_))),54(212(21,269(265(228(_,250),_),296(287,48(3(298,_),_)))),63(_,68(_,74))))),96(9,_))
[36,261];32(238(209(125(_,202(14(_,189),204)),216(_,225(_,233))),261(241(_,246),288(_,31))),82(70(37(36,_),76(_,77)),_))
[167,187];202(187(129(_,167(147(142,155),_)),190(_,20)),46(234(208,36(278(_,298),_)),64(48(_,56),82)))
[274,112];274(262(164(143(112,160(155,_)),203(179(_,186),210(_,242(_,258)))),_),69(54(276(_,39(295(294,38(298,_)),_)),6),79))
[59,24];104(102,34(279(156(114(_,146),212(179,26(24,_))),_),57(_,59(_,66(61,76(72,_))))))
[10,104];265(104(10(_,102),24(112(109,237(17(146(13(129(126,_),_),160),170(_,173(_,231(204(_,220),_)))),_)),262(261,_))),44(272(_,296),70(52,_)))
[85,147];112(103,224(216(202(147,_),_),44(299(289(255(246,_),_),_),85)))
[244,69];205(199(137(104,179),_),30(214(_,273(244(_,251),278(_,292(_,295)))),33(_,69)))
[276,177];217(173(119(_,155(15,_)),210(177,_)),253(252(229,_),95(62(276(_,61),64),_)))
[16,65];83(197(100(_,16(151,_)),250(21,272(_,65(297(294,_),_)))),_)
[96,26];292(144(_,223(_,252(235,26))),96)
[5,196];34(184(121,231(197(196,_),294)),67(50(5(39,_),_),89(7,_)))
[46,125];152(122(_,125),46)
[198,217];198(141,236(217,_))
[254,205];4(111(11,259(132(_,205(181(174(16,_),_),229(_,254))),271(_,286))),67(66(63,_),_))
[48,56];206(173(114(_,15(135(_,148),164)),193(181,_)),273(226(225,258(228,26)),47(41(285(_,35),_),48(_,64(51(_,56(_,62(57,_))),77(73,_))))))
[30,291];36(289(286(185(145(_,173(164(157(147,_),_),184)),20(195(193(191,_),_),249(238(218,_),_))),_),30(291,_)),93(52(37,61(55(_,58),87)),95))
[112,44];268(103(_,163(129(12(112,_),149),233(164(_,203(191(188,199),213(_,231))),235(_,252(24,26(_,262)))))),46(44(32(280(_,294),4(37,_)),_),96(85,_)))
[105,195];30(195(18(104(_,14(105,_)),_),294(246(196(_,24(215,_)),292(280(267(_,27),_),_)),_)),93(7(44(36(_,4),_),_),_))
[24,290];7(151(149(110(_,115),_),260(154(_,2(18(160(_,170(17,_)),_),221(_,24(_,256)))),35(290(276,30(296,_)),4(_,53(50(_,52),_))))),93)
[197,264];197(_,290(264,67))
[143,226];143(10,47(169(144,294(226,3)),70(_,92)))
[177,218];237(218(133(105(1,12(116,128)),213(142(_,175(168(156,_),192(177(_,187),2))),_)),_),255(249,59(44(27,_),80(74,_))))
[131,288];271(234(181(158(131(_,132),179),_),255(253(236,_),261(_,267(263,_)))),58(50(278(277,290(288,_)),52),90(89,97)))
[171,268];183(171,51(268,_))
[71,24];87(171(125(11,161),198(177(_,181),78(257(201(_,243(220(_,24),_)),296(274(_,283),39(_,71))),82))),_)
[11,10];167(114(10(_,11),152),213(203,72(39(27(226(_,233),_),_),9)))
[136,93];93(136(_,225),_)
[200,125];2(12(108,131(125,198(19(188,_),_))),200(_,228(_,55)))
[78,74];45(286(167(123(107(106,11(_,113(112,_))),_),174(171,268(201(_,208(_,219(_,253))),_))),299(_,37)),89(74(58(5,67),78(_,87(81,_))),_))
[139,275];156(139,184(_,275(_,4)))
[27,18];161(143(103(_,120),151),27(179(_,205(18(_,192),218(217(206,_),229(_,248(_,255))))),53(274(_,290(289(28,_),_)),89(55,92))))
[292,234];130(102(_,111(_,116)),29(195(163(155(_,159),183(166,_)),226(225(21,_),234(_,289))),40(296(292,_),5)))
[206,190];243(133(123,190(189(177(159,_),_),206(_,207))),65)
