19736014x88227392;60642425x92728947:39966663x21677338;91714696x72487057
8975189x688981;31432773x74225753:67041069x62772720;70852482x97081246
71614455x53019;74704685x13973805:38647746x81760334;98867223x89281399
49047668x96999193;93904799x98984989:64757169x16356651;76828817x55152920
65547886x27892708;84372860x44473289:83150414x32607339;88912021x72263465
22242390x77225441;96006632x78964472:47381014x61396851;82260920x72487474
8000955x77157103;21870983x96562653:5190858x42495753;17244099x90030176
32492942x7566031;94476338x38446482:58047142x28577778;75370940x59146343
8315285x90896525;27255606x93498150:46016239x64266927;70874679x81640396
78279289x66547154;95613362x71723197:75911259x64009220;77161147x78913658
26640592x60984535;53070029x62406060:26251820x69225864;86668483x94028481
12145230x64947174;12573926x96955260:1701411x51277358;37162682x94559762
66286559x61619604;67831046x67510556:57972396x37833312;81746294x87207705
50809344x9040969;78636853x42975120:34433871x16115300;98264298x30392721
27808431x7156298;39817730x50472395:14652893x81815258;75709104x82664813
51432235x26876953;83205550x47491709:33902765x83672961;93660327x97871841
28526997x57500253;90763535x60663033:38902120x79792217;76761993x82074027
98194018x69209616;99039746x91339625:31113575x71554687;34154095x92842635
84372657x76660958;97606066x95271197:8266624x81677972;52584720x85274898
22765960x81446088;63932167x90245234:5135105x52545635;96394206x63278613
72897757x98404949;85762768x99268659:68825748x59520036;75672855x67764409
36843100x15541281;38965902x80913549:73344680x35462179;89425053x86807900
93865893x19925247;97488979x48240566:6035908x10304477;45684840x54065434
5399014x2306774;23629020x83971664:39199974x29845648;41753365x65462503
94283594x3047369;94769266x51126863:31516056x76433207;46405275x83555868
25161083x6393977;90944545x26379711:11468754x4090420;76361984x47599337
17838420x41388837;38852056x47454977:2333128x2692225;24192422x39218305
37163957x14949391;49754672x61999714:16564967x18059777;82590890x61692868
73515506x45885387;79494489x53310452:66043471x76511747;68435770x86911215
82631397x23892352;95798989x52055739:17034750x42394361;43604516x90810810
15179997x81260066;94771236x82658846:86361231x9380435;96826366x85440873
5803876x33025738;94328833x98190807:84577223x15273900;97379664x74447201
69840294x55307433;87398928x98679442:99784295x99479126;99965096x99500573
49064238x93315050;78636492x98039107:39750083x13644298;79259702x13781849
77643046x68959150;84912826x81788020:63954534x71989836;71565150x90490925
13194971x29143773;84470301x95395612:1241302x11249449;52502975x86982711
60538714x37220376;79162093x73994038:62184878x28740673;87019393x41663378
94356330x67714080;98997899x81856674:27666547x90618740;44449447x93915017
80335106x33344140;96935804x96107276:5366913x881548;5848481x29141513
86229011x95803938;90874373x97800137:70623598x74973648;92126465x88878903
46808490x8482171;75753906x52384002:5037506x62938906;48835159x70005440
3776185x13662441;47865724x55784559:26757600x98337259;90269997x99491047
91490936x88134873;97115808x89409256:71570875x51988581;84286038x83857959
46312501x87952191;64391000x94643896:79444489x22330816;80161347x58666936
7270160x38766707;74132174x66014139:76393636x26654653;79532509x50392370
21479032x67402367;89242359x72020215:96732691x14848863;99592382x46730558
35395694x76002267;36192164x83261057:81706817x67427576;87139794x79175772
2428778x68526304;40148603x87237884:99808497x31115062;99951757x64340518
23488961x72394072;84678215x95870302:79445180x30624048;87987423x63226025
39449821x14007878;63189466x69442028:23246800x98976377;24655387x99305434
18824709x73836099;52920919x98072074:68091726x70780918;95762374x93286140
4676520x44689241;43116397x73365688:10867941x63838005;10964157x86268403
55184595x34721024;76919809x82564324:64035399x65047228;95478514x82647750
70608792x7001014;80811545x68001244:90249640x22060040;93837354x51649602
39682381x91359757;80494611x95195655:55983888x74397166;67658333x82297588
9193494x74172597;11393588x82054114:36881824x2303954;57122785x87889370
75368557x428819;90447742x11927722:46650619x97425269;81598973x98597652
76955957x2381712;81043181x35557498:16110557x70021329;48930186x81738241
18265675x95862165;77852762x97406194:60425565x70667788;90908580x73832406
74102256x36408693;82694556x57380390:78234458x76182554;85264334x85731609
32409667x18941740;34198023x64781473:61427143x37535739;79086476x55109408
70236932x28285155;73347083x53582345:49567158x28475895;86697422x82267943
32401506x70090535;98511255x77650725:13802679x91741599;14896710x94884224
90551463x33313964;93939873x76744633:91406194x9125496;97185617x49089453
41554017x72558070;85983406x79209876:6712809x20142418;99753571x69425797
35367642x87747729;56238470x99637896:6790105x82503726;86402976x89297104
4701895x19176194;7585789x79724006:99896680x70002154;99936573x72141827
10904273x65145391;31729041x89642852:55230296x94819991;92424967x95084682
1324201x28561880;6840252x49093237:32069167x2650207;67574772x10595837
77655246x18486809;89294314x23645887:65901572x50305939;78790412x96773295
53358008x65230400;77881728x89747998:62549131x24800889;73892169x74914086
6015710x69009271;99605319x80495184:88831564x96568695;94324714x98801889
37471615x64975435;38522252x75565616:84088266x10265685;97160973x78429520
375973x9011766;91765818x38312914:60955780x88645942;87149611x89165407
73067534x7735579;89691177x67275848:29721994x39879449;38553665x58402430
80789183x39908492;93358530x72036784:46251578x39152665;61828852x63852322
55519894x22240865;55884027x75232381:327311x28531424;17078856x45056082
42312942x9558686;92262604x61755341:29911809x57628911;81423585x88904064
10934113x7340420;85977845x85176258:76117060x57347351;77857132x88457940
61800804x83984859;82152776x97002584:1368471x36053345;99553146x66050953
52582076x31875915;62237764x80815841:11567707x82334273;18813076x83203295
33192010x34620398;37601621x78021857:70253819x21251045;76544626x39423073
7799577x77348549;74588729x84566849:18047710x33252411;63655854x80988926
43471288x66779812;58953318x76408510:55005748x39136710;86034833x76281016
50533948x46145578;91591486x72768935:20913579x41936566;91455295x64636306
1922149x13748112;71751430x44970491:74093824x38319007;74285529x97173167
32027488x63236150;85244917x92794755:91747367x69561812;92700197x75867158
87110536x16833639;92272734x27954598:64721834x38139438;66305122x40742242
67463711x45470212;70465099x62949904:70614335x76930317;85782907x90394658
30502527x57773004;85372857x71502020:53729917x57769848;56575870x60840919
89068896x37237108;95582603x54553984:36934842x97792929;92739459x99340807
13439633x84713950;13611311x90438355:2085200x22261084;8053923x91099054
33058370x65584729;79841393x95422787:33276284x49946799;36294447x99986075
1362255x26671358;34291064x73169837:81043235x62942241;97020596x83175082
82279896x76437099;92460027x88136598:15419112x66970423;63837359x80140229
11431808x29970107;11858411x79575421:38179318x73649838;66166703x98169710
56691900x99236129;84919995x99642863:73092368x41687491;96740601x43068823
9641936x46547709;43040683x53768989:87124983x43461311;87621126x71746803
37256089x22029443;67051339x72722922:23815935x12113106;44587016x85416200
2915868x48520735;93595863x50927349:93091563x70002071;97589167x79159770
59733738x90318703;95163726x97585051:27591263x55361991;72116588x68321932
15762121x62527214;26755392x86178872:47602965x93325054;68286400x99861297
57020352x47018549;94907237x71594261:8015790x71024527;83887153x97588000
53066604x60154911;95159381x90670044:84970844x53848106;85847437x56140479
66960590x85918501;85659976x97461058:44119791x59709855;76842372x84770551
92125084x17413215;99589127x77403157:11502215x20878957;19448585x52368322
78462x96659126;95173311x99583027:8082711x83509218;63573157x85710447
16964736x90084683;46787303x94995678:8425042x68878507;9004261x81071191
59202162x18997100;76596707x47159063:72513845x12003540;74143774x78045489
28440902x34883285;61225868x75285182:90357943x74262502;95394571x94962640
68807238x68501714;82897592x97945722:5754148x8307890;67000183x81149522
73087995x73544621;81369238x89173757:41593707x72115875;70798581x83993315
25904006x124823;79493578x15055121:49777009x20801875;87332389x72527637
83165979x97161096;88726597x98048912:31929074x78464950;66538986x90291866
61653040x43775231;72389080x45964128:31825267x70675979;62444459x89948908
34328057x93172901;95450443x97405742:32842003x1506066;92092512x69824959
73699353x12268344;86261131x99548388:26332028x80303110;72417801x90911516
24369994x61549054;54956505x83644503:81819409x82280450;88268009x89689847
52306603x27252080;93644533x47041741:88349915x98820472;93656239x99080097
1648539x82106953;84315869x87935851:40449210x72138948;44649046x78035851
31525955x4941155;74367098x20061393:77144542x42651037;88434877x78303629
47693994x22073706;88475410x49508662:20542820x4174978;23191077x77829984
10791846x73650665;91995523x88395371:35918941x42111472;40083299x69027492
48941765x59036023;51148063x89042376:60910224x71751327;71939549x97681819
68303346x80319449;87528638x86790728:3943736x36873655;99023620x59851908
44023287x6660240;58679172x95788079:97853518x99937180;98911414x99978919
79877996x96657387;92672602x98851490:96260678x47514731;99666443x87176486
20454047x54995961;44833490x61492595:457092x3131782;1074274x75243786
6215658x31262551;33177865x34831018:35029587x96544613;74934216x99236714
54153535x58105031;99779260x96994613:62475288x39836052;80287727x71996226
4383958x76989904;94710495x95552508:48337370x95136274;97649804x95265794
13139280x32424499;37787166x56923078:78529485x81404454;89194148x86906434
23050327x60457949;41064330x75688553:43069435x35179698;87424655x83591747
67040531x3165083;73088734x3209797:36926225x17462372;98195373x40265595
90812196x66098296;95130727x68702254:96236056x97453503;98514295x98103983
33612880x26661957;55100143x61038001:48280413x45485753;49773155x55243746
18114069x49756942;45044444x80869940:24418228x92996276;50641265x97609382
59288273x43745339;89272793x98873450:28410345x99497890;70390147x99563632
10913958x40017582;56260372x52539792:58859002x63489321;94002315x69100802
25956605x90237072;38932964x93389861:44298202x48024594;59945582x58506536
72864670x75627945;78027528x95800073:79024794x77870725;93765626x84263260
54006587x79270557;67974597x87316488:1239714x81798752;92541109x88281212
32868722x88014409;56490412x95213449:91972260x77882311;98054087x99389021
69398347x17626764;72167432x71091064:8738316x75629397;38153417x82208192
25626222x18972615;31757022x42649205:85774808x37465159;89291135x55066533
73031089x19636752;81114150x76728284:31415046x36098864;38032120x91783963
35726589x40321216;41307278x83447763:95222612x32152707;97852553x40837535
41144017x74029134;89280673x85882011:879064x11260463;66872931x90328851
54740188x53039214;88343298x79844310:66821256x16642853;90387232x19683926
97722147x28649072;99176004x77334890:2729051x77600848;59187674x99631871
72949939x69682326;78791599x75921592:96505008x86673577;96817602x93784792
76090519x28341412;93538285x79137332:83574989x54117372;89682699x66685525
18711310x4220585;53107319x66545721:54907806x34103366;75375980x85928990
92039878x69535401;99329309x92112737:57327615x84151477;89970053x95706588
4186343x49134116;6603299x50312390:93629198x19419318;96969626x46946127
87571339x73504752;89244174x94557195:94936809x75306830;98990650x81933521
9708380x13326508;77731457x41243186:39331325x94135920;91710033x94597916
87492367x63252016;89726001x66992269:16904152x83826365;81808622x84146676
88822778x77256819;90014861x77639809:32999079x78257845;50297950x81822445
22894081x70134724;38891440x86273444:57820493x5142092;96103076x17077540
16267537x34778745;41798810x98575441:66787082x59583192;98073090x88674131
8386637x85412277;86945823x91438664:64941031x70908538;75906058x93423358
29633121x46458350;95043611x72955029:91242176x49579309;96745546x53625271
97079241x74388519;97749160x75252862:63441590x37743680;97287094x58570883
12716071x43391031;16488225x94128547:61840419x67201701;74341700x97050440
51082094x36742940;80932657x66462304:17432216x30982599;92986713x87288873
49838711x62796232;90182066x78534403:61127973x66124097;91128767x88746276
80912176x34374214;92128692x78346073:97119071x97588807;97460240x97709652
48007112x79470939;64378151x87302367:18559881x34002192;84600141x60404662
25754659x32055759;25929287x71513211:11757369x71281465;87148872x85668690
91953846x42246849;98540336x77225228:42740545x70657724;96542245x91318631
38197606x92508979;96947492x96655964:51848352x56632758;92598300x93095137
63432942x28422011;67974718x64133719:43498911x2111781;46468534x13555602
46425075x30545257;57741655x86586551:51423702x34723801;81813534x49632163
87481207x24263389;93367759x27010778:19888450x62764963;61959308x95323948
60829347x86299656;79688621x93064041:42892967x47496089;91097059x84456351
43602444x14574371;59212842x70977154:22003656x21675337;37318517x54620118
79747086x9141614;86035584x16498142:47536174x39868185;58618604x74450057
60337057x35470953;71843062x38127881:97147147x59814769;98444832x83847702
49655438x6999057;77877148x23461806:44426518x25391045;89038449x97799961
73626812x58683841;94996597x64917807:18958584x8264521;21281271x27946927
25346385x56091380;83446776x74375377:72768257x78300180;98151930x89743071
8278251x52226686;86592903x53186373:24073022x34924300;67571738x60619461
67864438x21599080;87852201x54056875:69979916x35062764;87546845x75353323
5658797x89138110;53286891x93157242:47497131x98826265;62257350x99357364
20744936x31349154;80734313x77071457:20140871x3714005;66175128x11430771
77756935x93628676;98152461x97967601:71997321x44824553;78050436x84340094
46104146x45108527;88937096x72415535:35001609x99856527;97715678x99976967
42763861x94143885;48901219x97082894:87554747x63594540;88252484x89542937
86556592x81867961;97153279x95880396:36545260x8135876;85110439x9296318
58484263x69402440;84209695x73516762:80760318x68416708;86513986x80278745
5660380x2000527;77244483x4294395:82009019x140085;83747768x71038298
75835009x79046474;84581346x99603466:14880464x13870534;32437461x37616361
28099324x31555586;28617878x78295869:35059603x89750017;44673554x96804483
71337675x68986947;81007883x90680985:38001307x14544181;89548900x39597515
42306161x68177993;71151233x85339596:99946065x69275585;99955916x95150427
78684324x62399509;92656236x95303545:700138x22216739;46054071x69179710
48094960x78386963;75703457x89974240:1805890x6002362;69246815x41130196
86129132x64339385;87957985x70400639:38326881x2010721;80426268x7776113
21650068x98161490;88688753x99919212:78320120x59391926;84618055x89510666
31445621x67589266;66301207x81874720:36119942x6424661;78285888x84867073
11521654x68145422;80202618x82754871:35048070x50930330;45308235x94452046
43994435x15603101;79039968x16458424:32135601x19876513;69456369x69302506
63536867x9189472;98109912x93794974:24023643x62215213;82401095x82048131
93798468x17492498;95512358x50490851:37235611x69781707;54522970x82489354
6760185x81948981;57574764x97511517:56740478x37738273;94252879x84924643
34632838x63470197;93219072x65077063:85055240x58566237;90373542x71175430
30967190x20052661;82350154x43707737:2471128x74638609;73445643x79293589
15409387x8627336;85246475x29996726:21998080x71201221;53595779x72353193
92793382x44272973;99285303x62753019:48232960x79738288;79864849x95405190
57078167x8111822;77782167x32580554:42203500x89018961;53510271x98835975
69070310x37523237;71174594x98131247:96576067x22000165;98050407x82194092
79860187x64216089;87591033x99008571:71305395x67159782;99824983x70852917
18425177x56165819;84545790x98887460:42793016x86159194;84775748x99696258
94694381x87384819;96028661x94332698:15694656x10242768;76239498x89929753
93539946x26811002;95645820x47407407:71438560x66476830;71959491x98586830
68082608x61856332;90763456x92504089:81244113x13106606;82348288x65111231
81076739x83835795;86934952x86362509:1137895x33233868;27886669x81044011
20644247x81314225;99024406x90691499:48365445x89787043;54755122x92318289
28143119x25790839;87442882x74276054:5850125x84434764;35618148x98487647
14578340x16217820;54733796x83471543:5304814x35949127;85894891x45137972
12041823x53937642;61162849x92255129:90739396x4944777;95964885x79000789
99364522x79775948;99998920x90717569:81179644x14470273;86456946x29778881
81274050x74498089;91846621x95279318:77743964x34057928;95400013x44437772
46522967x10326723;52327425x53485704:12478309x55390555;44710166x73400342
62821479x59444629;75469344x72973884:332983x70847006;25716515x83953318
77580043x84156243;83844564x93091230:32253173x10507832;49840693x64629399
32538243x2528144;91504023x57714385:3830672x39848074;61299881x58226241
21787960x70707808;80445853x90660916:9904118x67581684;48720604x84191331
44439629x53769039;67112432x94915489:65218913x58453950;81133580x78360363
85612456x49235734;90329695x53346256:1751466x31584606;47492421x93246440
346280x44298471;52168200x97567068:4289034x37843992;26226457x41700067
94171203x23455839;98238541x44707160:3680376x74249191;85018526x76685874
60360030x91175455;92475459x96889450:81521023x6707277;89531426x47323484
28952281x54866148;68679735x96972286:74145898x81317178;92176854x83874985
43413938x63828463;54604128x79983104:42737248x6936907;53448714x52358611
2963514x85321559;60229645x96184760:51585464x24458253;92248334x68158383
58537771x26576249;96802814x91362335:86196341x98953139;95612913x99325771
45294714x21486300;78529667x74956338:93968207x51337714;99299219x51765701
88462888x85026226;98845099x93343165:41032144x45634081;43202349x54168898
74080885x13165696;82559959x32892980:40385221x58214746;59557577x81173409
31458324x7095358;42628506x19265160:11203408x87114436;66769854x94224441
20822381x50692985;26477351x59841910:73411101x27321129;74228906x52657493
7677334x32975721;54490430x46901984:95526080x72822751;99791151x73636546
46654838x47850648;84261847x82682625:94137052x22429421;99640170x39942072
2537979x56899403;40571358x95155702:56923566x93784144;59158967x98468640
2875252x82132271;86260807x89736481:82857934x65005849;96208877x84436656
5392464x27192225;10619077x72975848:24483071x21968691;71650744x30302738
43474166x18962185;48114378x94531391:15922389x7327419;46692988x57398089
84712708x61631448;92483956x70123080:537756x77961296;12144196x82130324
56921816x37920001;65607426x96857917:92456616x20862124;96011183x24104002
5491656x42309660;41982445x76906376:88470189x95384181;93350312x97214589
17055102x72838095;55411460x88370982:61715214x56401463;80356227x60597156
78526656x42020588;84717053x72944869:93171386x93894421;95308577x98977969
27563223x70426258;31595217x92561330:5537917x72760385;12178407x85981271
87346886x4781591;88843231x66674786:31106194x11719987;86463058x33563131
55450511x60416532;82573422x72002971:94614088x46078751;95442887x99857391
63760967x1767267;93778898x89748968:68594987x62075903;71450242x81855215
44716760x54431768;47596726x94693301:14762904x69228842;46081943x82216750
73482792x26080098;76977682x82296524:61343505x4841879;84928683x17712364
17108298x58722568;73829734x91127891:75847066x22844183;95444258x98682425
59487471x6252058;61838168x65940125:43268825x46768242;92961427x98819501
49749992x50238386;89422974x87547927:35634242x70311252;99724590x90231251
91653809x67927396;96027717x95210454:41905476x73655423;69347487x96762385
77991266x13717478;90111392x83552799:91983416x93432428;94656057x97780857
82365289x45085562;85269829x89915365:77255964x35955996;88316247x42241354
66411460x40416217;87760727x43556141:11262206x63286978;53083355x78754816
98117111x36600674;98281882x84535227:89484123x30364922;90148363x82187988
32146969x71685251;69844972x75487735:9601845x84064861;55869824x95030152
85518765x97720583;95572164x98214804:17206827x22010559;45164262x29823604
16450035x73804344;43262350x80753141:80825367x47294289;81662576x85622675
91782641x91453844;95879132x98898904:35221789x29609932;38439022x34366848
86105660x72033885;86499571x95741756:16482405x38128870;91253406x70909506
79496302x88062932;88200159x91586656:61610136x44411163;88864092x86900621
86740383x94781985;97277276x96138601:89866499x616574;90323452x6202368
8264028x78207549;42096566x95445013:59399794x77358177;68264274x99638381
39813701x5199472;46102503x35993827:47662140x37984193;97323201x57628616
93962481x64916383;95643523x91685781:24869927x84658571;48426332x94210676
5440505x97249392;61028775x97939812:18226150x11975948;28029036x64884538
2218470x25373764;12839459x37534325:81263214x74774569;87849859x74874961
65092003x81857035;87156393x90842452:31178881x71235761;84593733x86842394
41481850x1128763;75533575x69609367:10546839x40704063;70425657x59656422
52221766x60872175;98631789x86450182:16393077x1153479;32630373x15696857
98472942x51220100;99809960x52600887:92667068x6302711;99584773x79074766
53068677x45122824;64553688x48988664:66262157x80406427;66838778x91362150
87550792x14553771;95514436x53036369:70505949x58978206;82026140x72497372
70157893x99902209;84870318x99956340:82931778x39525800;87751406x99831655
62053785x56858553;68301930x90033570:79141097x3036967;98811431x40514346
51887311x3000254;67706593x40825251:13870060x86839496;79894526x92785048
16729901x94864427;67090155x98053315:31870200x159318;97890084x53509919
28576964x19898868;71224381x82430039:24179620x77764983;25634771x99491952
84946150x27903431;94963062x89981867:39655333x99056325;56948325x99156851
60932113x31167148;73377090x87831312:87172056x29955803;97649167x51783641
62461395x23483374;76633923x56096831:11507531x4857198;46394814x99961634
16306472x52718626;37820199x53247119:65724899x18752334;99022317x78731013
55114660x99339609;62365868x99723841:91710659x17273804;94732930x42608981
61421869x74922050;69607244x79557757:35970978x22268584;76315461x58223693
29755207x66557745;95094575x79379830:39457811x74231727;89189784x85137748
61683332x20379663;76893385x21899444:12350561x57933917;14277155x83095473
13102411x90610733;24703260x99389329:26559465x31823338;37584498x34740572
20480736x6651727;84797661x45715662:78002142x25037624;78500552x98366780
3436780x61659946;22236993x75695476:67392333x7264287;86859748x22819489
41923230x45831900;70605730x53998141:74776389x10245674;89820748x63661243
63283736x91925724;91245603x92511626:49907269x55644835;80750379x71727631
61193331x60338826;74845082x88881390:61663589x35671717;94508521x48431757
14658033x34516449;27057607x98842225:98761285x98154406;98772562x99566182
6085736x18719690;15275976x77387319:73088959x58447031;84182637x60692969
70636518x91940246;76065549x97055417:38981981x5895555;57589489x96405573
63824493x74944417;75087089x80353601:98508623x56434862;98903556x86911822
13715498x16314450;61120699x24126782:44985919x24996635;62206768x73787655
78002215x34167433;94151419x43661357:55486290x17539436;92049829x90940837
76731846x32984027;89822182x36453186:15039033x27895568;50595002x64807584
8633724x99723336;10991797x99921630:37085838x1549985;39214378x84737296
53350911x27193466;54811839x46956371:27508019x89090546;73742764x95778170
93492420x7979305;98303487x29839379:52492885x62012951;61294709x80779760
13593770x6549701;21797764x20179515:49749219x36973192;59138993x42354978
27045005x72249502;95472035x78247326:22668895x65328436;33289201x67522757
71862880x86913297;91837221x93948750:28789037x61820478;50889855x80752724
67168042x52683728;84811232x57116406:48357348x43213130;78854307x91412757
40567948x21924119;92679553x86621040:89789471x77947300;99002294x86496210
66158544x4475515;72577976x76459899:36734110x89051673;57864907x96921224
8601768x94966566;50794857x96525786:46664499x62489877;66393310x84933478
47674198x66227744;47758853x92542873:51517782x55855154;77122136x63658558
50580351x31823919;69256420x83024004:73165600x84404755;95858604x98284323
93041987x17026208;99305814x40607771:64877149x45111920;88741076x95505240
64686180x62703687;91693596x65024680:50452052x89911550;53682439x90879103
25192783x31346374;47602050x48602776:42554460x72538073;55055952x96770250
63113979x2191396;70143457x6577949:82819630x40055107;94276315x60137840
61759252x66100105;83811076x98151003:43948027x42807241;46718872x53818965
55049862x27467318;81888123x63251633:88125663x54973128;98782812x74945805
47879223x32545316;81014959x74800563:59374057x57652346;60132909x86409169
17485144x45600864;80722860x88264573:4830182x89619648;98067019x95868760
36423212x62275085;47199517x94329267:44760465x43490586;47543384x60809065
87148779x37009791;90143211x89158534:66712472x60771853;90559536x66176921
64084164x45110775;77898254x66071439:18805515x956674;50159974x99125281
13429x89715531;76044712x94326915:87458203x73652837;98678361x93840740
70087087x4574969;78440064x52225666:53326211x82082150;58235014x93354452
20084321x95929945;43041690x99430709:14719117x30896741;22602959x54873150
15866121x59621664;92471396x80215892:33884749x15090571;38604368x98502199
15993387x97509997;54337058x98855307:5024481x40931536;86925281x65923671
